[2025-05-10 16:52:57] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'PAN QUALITY%' | Preferencia Usada (trim): 'PAN QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'PAN QUALITY%'"
[2025-05-10 18:12:20] [DEBUG HelenSystem Filter] Usuario: 0001 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 18:33:16] [DEBUG HelenSystem Filter] Usuario: 0001 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 18:36:17] [DEBUG HelenSystem Filter] Usuario: 0001 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 18:36:19] [DEBUG HelenSystem Filter] Usuario: 0001 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:44:52] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:44:56] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:44:59] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:45:00] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:46:13] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:46:16] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:46:20] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:46:20] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:46:29] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:46:32] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:46:37] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
[2025-05-10 19:46:37] [DEBUG HelenSystem Filter] Usuario: 0220 | Preferencia Original Sesión: 'QUALITY%' | Preferencia Usada (trim): 'QUALITY%' | Fragmento SQL Generado: "AND p.Descripcion LIKE 'QUALITY%'"
